地域,ちいき,地域情報,地域社会,地域密着,地域住民,地域別
看護,かんご,看護師,看護婦,訪問看護,看護士,看護業務
認識,にんしき,歴史認識,共通認識,認識を示す,性を認識,音声認識
優勝,ゆうしょう,優勝候補,優勝を果たす,優勝争い,大会で優勝,総合優勝
警察,けいさつ,警察署,県警察,警察本部,警察に通報,警察犬
異なる,ことなる,異なる場合,多少異なる,全く異なる,事実と異なる,異なる可能
将来,しょうらい,将来的,近い将来,将来性,将来の夢,将来像
規模,きぼ,最大規模,地球規模,市場規模,世界規模,全国規模
装置,そうち,製造装置,処理装置,給水装置,装置の開発,測定装置
宇宙,うちゅう,宇宙飛行,宇宙開発,宇宙空間,航空宇宙,国際宇宙
批判,ひはん,批判的,批判をする,批判を受ける,批判の声,厳しく批判
自宅,じたく,自宅用,自宅近く,自宅やオフィス,自宅前,自宅待機
議論,ぎろん,議論をする,議論を行う,議論の場,議論の中,議論を進める
就職,しゅうしょく,就職活動,就職先,就職情報,就職率,就職難
政権,せいけん,政権交代,人参政権,民主党政権,小泉政権,ブッシュ政権
発展,はってん,経済発展,的発展,発展的,社会の発展,経済の発展
お腹,おなか,お腹いっぱい,お腹がすい,お腹が痛い,お腹の調子,ポッコリお腹
勤務,きんむ,勤務地,勤務時間,勤務先,勤務医,勤務中
疑問,ぎもん,疑問点,疑問を持つ,疑問を感じる,疑問にお答え,疑問視
段階,だんかい,段階的,早い段階,一段階,今の段階,最終段階
改革,かいかく,構造改革,制度改革,行政改革,教育改革,意識改革
納得,なっとく,納得出来,納得のいか,自分を納得,自分で納得,納得いき
値段,ねだん,値段が高い,値段が安い,同じ値段,値段も安い,値段的
操作,そうさ,操作性,操作方法,情報操作,操作を行う,操作をする
認定,にんてい,認定を受ける,認定証,認定事業,認定試験,認定医
異常,いじょう,異常気象,状態異常,異常事態,異常がない,精神異常
処分,しょぶん,処分場,処分を受ける,行政処分,最終処分,停止処分
株式,かぶしき,株式投資,株式市場,自己株式,株式数,東京株式
申し訳,もうしわけ,大変申し訳,申し訳程度,非常に申し訳,ホント申し訳,誠に申し訳
著者,ちょしゃ,著者名,著者の新着,著者情報,著者の関連,著者自身
宗教,しゅうきょう,宗教的,宗教団体,宗教法人,新興宗教,宗教家
役割,やくわり,役割を果たす,役割を担う,役割分担,的役割,大きな役割
感染,かんせん,院内感染,性感染,感染対策,ウイルス感染,感染性
権利,けんり,受ける権利,的権利,その他の権利,権利を有する,子どもの権利
候補,こうほ,候補地,画像候補,優勝候補,候補生,店長候補
済み,すみ,解決済み,使用済み,登録済み,確認済み,保存済み
補助,ほじょ,補助金,費補助,補助事業,補助食品,国庫補助
収録,しゅうろく,収録曲,収録内容,曲を収録,収録作品,完全収録
死亡,しぼう,死亡率,死亡事故,死亡フラグ,死亡する場合,死亡保険
除く,のぞく,場合を除く,一部を除く,地域を除く,祝日を除く,商品を除く
模様,もよう,雨模様,人間模様,会の模様,花模様,学模様
訪れ,おとずれ,春の訪れ,訪れを感じる,訪れを告げる,秋の訪れ,冬の訪れ
承認,しょうにん,承認を受ける,承認後,承認待ち,承認制,院長の承認
秘密,ひみつ,秘密基地,秘密結社,人気の秘密,秘密兵器,英会話の秘密
容疑,ようぎ,容疑を認める,殺人容疑,容疑を否認,傷害容疑,容疑を否認する
痛い,いたい,頭が痛い,痛い目,胃が痛い,足が痛い,痛いところ
優しい,やさしい,優しい気持ち,優しい言葉,優しい笑顔,優しい声,優しい味
背景,はいけい,的背景,時代背景,背景色,背景とする,背景画像
姿勢,しせい,姿勢を示す,基本姿勢,姿勢を見せる,姿勢をとる,正しい姿勢
否定,ひてい,否定的,否定派,否定はする,性を否定,性も否定
証券,しょうけん,有価証券,証券取引,証券会社,証券報告,東京証券
従来,じゅうらい,従来の問い合わせ,従来型,従来通り,従来品,従来どおり
手段,しゅだん,交通手段,解決手段,移動手段,最後の手段,手段がない
危機,きき,危機感,危機管理,経済危機,危機的,危機意識
裁判,さいばん,裁判員,裁判長,東京裁判,員裁判,逆転裁判
視点,してん,的視点,独自の視点,視点を変える,視点で見る,新しい視点
装備,そうび,標準装備,装備品,フル装備,装備可能,装備以外
困難,こんなん,入手困難,呼吸困難,困難となる,非常に困難,困難と判断
我が家,わがや,我が家の庭,我が家の場合,バトル我が家,我が家の愛犬,我が家の近く
無視,むし,信号無視,完全無視,完全に無視,無視リスト,無視をする
優先,ゆうせん,優先順位,優先的,優先度,優先となる,優先権
翌日,よくじつ,翌日以降,翌日発送,最短翌日,翌日配送,翌日の朝
沿い,そい,川沿い,通り沿い,道路沿い,海岸沿い,街道沿い
看板,かんばん,案内看板,立て看板,店の看板,看板を見る,大きな看板
貴重,きちょう,貴重品,大変貴重,非常に貴重,貴重書,伝える貴重
理論,りろん,理論的,理論上,理論値,経済理論,理論武装
収入,しゅうにゅう,広告収入,収入を得る,収入源,興行収入,収入役
収集,しゅうしゅう,情報収集,独自に収集,情報を収集,情報を収集する,情報の収集
解除,かいじょ,武装解除,規制解除,登録解除,条件を解除,登録と解除
劇場,げきじょう,劇場版,国立劇場,芸術劇場,劇場公開,教養劇場
展望,てんぼう,展望台,今後の展望,現状と展望,将来展望,展望所
資源,しげん,観光資源,水資源,地域資源,経営資源,資源開発
憲法,けんぽう,日本国憲法,憲法改正,平和憲法,憲法上,憲法改悪
宣言,せんげん,宣言をする,共同宣言,ポツダム宣言,事態宣言,勝利宣言
若者,わかもの,若者たち,若者達,日本の若者,若者向け,今の若者
単純,たんじゅん,単純明快,単純計算,単純泉,単純作業,単純所持
呼ぶ,よぶ,名前を呼ぶ,話題を呼ぶ,名を呼ぶ,呼ぶ声,名前で呼ぶ
階段,かいだん,階段を上る,階段を登る,階段を上がる,階段を降る,階段状
割引,わりびき,割引券,割引価格,特別割引,円割引,割引率
通勤,つうきん,通勤手当,通勤時間,車通勤,通勤可,自転車通勤
宣伝,せんでん,広告宣伝,宣伝費,宣伝をする,宣伝活動,宣伝文句
回収,かいしゅう,用品回収,回収率,自主回収,回収業者,資源回収
若干,じゃっかん,若干の使用,若干名,外観に若干,若干の誤差,若干差異
退職,たいしょく,退職金,定年退職,退職手当,退職後,退職給付
背中,せなか,背中を向ける,背中を見る,背中側,背中の痛み,私の背中
帰宅,きたく,帰宅後,帰宅時,帰宅中,帰宅時間,無事帰宅
発揮,はっき,力を発揮,効果を発揮,効果を発揮する,力を発揮する,能力を発揮
窓口,まどぐち,相談窓口,問い合わせ窓口,受付窓口,問合せ窓口,窓口となる
保障,ほしょう,安全保障,社会保障,保障制度,保障理事,保障費
遺産,いさん,世界遺産,文化遺産,遺産に登録,遺産登録,自然遺産
我が,わが,我が子,我が社,我が党,我が軍,我が道
論文,ろんぶん,発表論文,卒業論文,論文の標題,修士論文,論文を書く
立派,りっぱ,立派に成長,大変立派,大きく立派,独立派,非常に立派
供給,きょうきゅう,安定供給,供給量,電力供給,供給源,資金供給
沿線,えんせん,線沿線,沿線の物件,沿線で探す,鉄道沿線,沿線住民
反映,はんえい,見解を反映,見解を反映する,コメントは反映,バックは反映,意見を反映
頂く,いただく,頂く場合,時間を頂く,頂き物,注文を頂く,言葉を頂く
創造,そうぞう,創造性,創造的,創造力,創造主,価値創造
収納,しゅうのう,収納トランク,倉庫や収納,収納力,収納家具,収納可能
人権,じんけん,人権問題,的人権,人権教育,人権委員,人権団体
重視,じゅうし,性を重視,性を重視する,性重視,重視型,重視派
領域,りょういき,研究領域,専門領域,領域内,事業領域,神の領域
呼吸,こきゅう,呼吸器,呼吸法,人工呼吸,呼吸困難,呼吸をする
巻き,まき,手巻き,太巻き,肉巻き,自動巻き,巻き巻き
数値,すうち,数値地図,内の数値,発行の数値,数値目標,数値計算
延長,えんちょう,延長戦,期間延長,期間の延長,時間延長,延長保育
吸収,きゅうしゅう,消化吸収,吸収率,吸収性,吸収力,吸収量
至る,いたる,至る所,至るところ,至る道,至る過程,至る前
時刻,じこく,時刻表,集時刻,予定時刻,バス時刻,駅の時刻
視線,しせん,視線を向ける,視線の先,視線を感じる,視線を送る,熱い視線
従業,じゅうぎょう,従業員,従業員数,お客様や従業,女性従業,期間従業
山頂,さんちょう,山頂付近,山頂部,山頂を目指す,山頂駅,山頂直下
内閣,ないかく,内閣府,内閣総理,小泉内閣,内閣支持,安倍内閣
歌詞,かし,歌詞を見る,曲の歌詞,歌詞の一部,歌の歌詞,歌詞の内容
決済,けっさい,決済方法,コンビニ決済,クレジット決済,決済システム,決済手数料
困る,こまる,本当に困る,困りごと,少し困る,困るわけ,困り顔
結論,けつろん,結論を出す,結論付け,結論は出る,結論的,結論を導く
宅配,たくはい,宅配便,宅配ピザ,宅配情報,宅配業者,食材宅配
激しい,はげしい,差が激しい,激しい雨,激しく同意,激しい運動,競争が激しい
創作,そうさく,創作料理,創作活動,創作広場,トラベル創作,創作物
割合,わりあい,割合が高い,負担割合,割合が大きい,割合を乗じる,割合が多い
衣装,いしょう,民族衣装,衣装を着,プレ衣装,衣装屋,衣装に身
革命,かくめい,革命的,産業革命,フランス革命,革命家,ロシア革命
女優,じょゆう,女優さん,女優賞,主演女優,人気女優,日本の女優
演劇,えんげき,県の演劇,演劇部,演劇界,演劇祭,府の演劇
並び,ならび,並び順,商品並び,並び始め,号並び,規定並び
株価,かぶか,平均株価,株価指数,目標株価,株価下落,株価の予想
電源,でんげん,電源を入れる,電源を切る,電源開発,パソコンの電源,電源スイッチ
認証,にんしょう,画像認証,下の認証,個人認証,認証取得,認証を受ける
口座,こうざ,銀行口座,口座開設,機関口座,口座番号,預金口座
温暖,おんだん,地球温暖,地球の温暖,気候温暖,ストップ温暖,温暖地
俳優,はいゆう,俳優さん,派俳優,俳優たち,人気俳優,映画俳優
並べ,ならべ,
心臓,しんぞう,心臓病,心臓血管,心臓発作,心臓移植,心臓部
疑い,うたがい,異常の疑い,疑いを持つ,疑いもない,疑いもある,疑いをかける
対処,たいしょ,対処法,対処方法,時の対処,問題に対処,対処をする
創業,そうぎょう,創業以来,年創業,年の創業,創業時,創業明治
混乱,こんらん,混乱を招く,混乱期,混乱の中,戦後の混乱,混乱状態
指揮,しき,指揮官,指揮下,指揮権,指揮をとる,指揮命令
興奮,こうふん,興奮気味,興奮状態,感動と興奮,興奮を覚える,興奮と感動
引退,いんたい,引退後,現役引退,引退試合,引退を表明,現役を引退
認知,にんち,認知度,認知行動,認知機能,認知科学,的認知
株主,かぶぬし,株主総会,株主優待,筆頭株主,定時株主,株主資本
論理,ろんり,論理的,論理学,論理性,論理展開,論理回路
厳選,げんせん,厳選素材,厳選サイト,厳選リンク,厳選情報,厳選の高級
分割,ぶんかつ,遺産分割,株式分割,会社分割,分割協議,型分割
届く,とどく,届くところ,届くバイク,届くはず,届く予定,届き次第
声優,せいゆう,声優さん,声優も学べる,人気声優,女性声優,声優のコミュニティ
臨時,りんじ,臨時休業,臨時国会,臨時列車,臨時職員,臨時総会
権力,けんりょく,国家権力,権力を持つ,政治権力,最高権力,権力争い
散策,さんさく,散策路,街を散策,周辺を散策,散策をする,自然散策
就任,しゅうにん,社長に就任,長に就任,就任後,会長に就任,就任式
収益,しゅうえき,収益物件,収益性,収益金,収益率,収益力
家賃,やちん,家賃相場,家賃が高い,家賃が安い,順家賃,駅の家賃
区域,くいき,区域内,調整区域,計画区域,区域外,禁止区域
誤解,ごかい,誤解を招く,誤解を解く,誤解を受ける,誤解が多い,意外に誤解
若手,わかて,若手研究,若手社員,若手芸人,若手俳優,若手選手
誤り,あやまり,情報の誤り,誤りを発見,情報に誤り,内容に誤り,誤りを発見する
拝見,はいけん,楽しく拝見,ブログを拝見,ブログを拝見する,写真を拝見,ブログ拝見
年収,ねんしゅう,平均年収,世帯年収,年収アップ,年収プロ,年収ランキング
同盟,どうめい,米同盟,同盟国,解放同盟,同盟関係,同盟軍
牛乳,ぎゅうにゅう,牛乳を飲む,牛乳屋,牛乳を入れる,牛乳プリン,牛乳を加える
加盟,かめい,加盟店,加盟国,加盟書店,組合加盟,加盟団体
閉店,へいてん,閉店後,閉店時間,閉店間際,時閉店,閉店や営業
上映,じょうえい,上映会,上映時間,上映中,映画上映,上映作品
除去,じょきょ,除去作業,除去装置,歯石除去,タグは除去,酸素を除去
一層,いっそう,一層強い,一層美味しい,一層進む,一層深める,一層おいしい
将軍,しょうぐん,将軍様,将軍徳川,将軍足利,将軍職,徳川将軍
頂ける,いただける,頂ける様,頂ける不動産,アドバイスを頂ける,コメントを頂ける,頂ける場合
系統,けいとう,系統的,系統料理,電気系統,指揮系統,同じ系統
暖かい,あたたかい,今日は暖かい,冬は暖かい,暖かい気持ち,暖かい空気,少し暖かい
開幕,かいまく,開幕戦,開幕前,開幕式,開幕投手,開幕直前
署名,しょめい,署名活動,署名運動,電子署名,求める署名,録署名
政党,せいとう,政党制,政党助成,政党政治,支持政党,政党支持
閉じる,とじる,目を閉じる,閉じるエリア,幕を閉じる,続きを閉じる,ウィンドウを閉じる
意欲,いよく,意欲的,学習意欲,創作意欲,意欲作,意欲を示す
訪れる,おとずれる,店を訪れる,レストランも訪れる,初めて訪れる,地を訪れる,訪れる観光
砂糖,さとう,砂糖を入れる,砂糖を加える,砂糖大さじ,粉砂糖,砂糖水
郷土,きょうど,郷土料理,郷土資料,郷土史,郷土芸能,郷土館
装着,そうちゃく,装着時,装着可能,装着感,装着後,装着車
賃金,ちんきん,最低賃金,割増賃金,賃金制度,平均賃金,賃金格差
並ぶ,ならぶ,整然と並ぶ,順で並ぶ,時間で並ぶ,金で並ぶ,投票で並ぶ
並み,なみ,街並み,平年並み,プロ並み,前年並み,例年並み
反射,はんしゃ,反射的,条件反射,反射板,反射神経,反射率
参拝,さんぱい,参拝客,神社参拝,神社に参拝,公式参拝,多くの参拝
割り,わり,縦割り,お湯割り,割り人形,早割り,スイカ割り
暮らす,くらす,ペットと暮らす,暮らす賃貸,植物と暮らす,家族で暮らす,暮らす家
簡易,かんい,簡易裁判所,簡易郵便,東京簡易,簡易包装,簡易保険
拡張,かくちょう,拡張子,拡張性,業務拡張,機能拡張,拡張工事
補正,ほせい,補正予算,会計補正,年度補正,補正下着,ブレ補正
深刻,しんこく,問題の深刻,非常に深刻,深刻度,以上に深刻,事態の深刻
警備,けいび,警備員,警備隊,警備会社,警備保障,自宅警備
尊敬,そんけい,尊敬の念,尊敬語,私の尊敬,尊敬を集める,尊敬する人物
従事,じゅうじ,業務に従事,作業に従事,活動に従事,研究に従事,仕事に従事
密着,みっちゃく,地域密着,密着型,地域に密着,地元密着,生活に密着
返済,へんさい,借金返済,返済額,借金の返済,返済期間,返済方法
危ない,あぶない,危ないところ,危ない目,危ない橋,本当に危ない,命が危ない
出勤,しゅっきん,休日出勤,出勤前,出勤時間,出勤時,土曜出勤
連盟,れんめい,議員連盟,野球連盟,国際連盟,観光連盟,連盟会長
故障,こしょう,故障の原因,パソコンの故障,故障中,故障時,故障や修理
反論,はんろん,反論をする,反論出来,反論の余地,異論反論,反論もある
中傷,ちゅうしょう,他人を中傷,他人を中傷する,中傷する記事,中傷や個人,中傷する内容
包装,ほうそう,包装紙,ギフト包装,容器包装,包装資材,簡易包装
推定,すいてい,推定値,推定法,資源の推定,死亡推定,推定無罪
策定,さくてい,計画策定,計画の策定,計画を策定,計画を策定する,戦略策定
頭痛,ずつう,頭痛外来,頭痛薬,型頭痛,性頭痛,激しい頭痛
諸国,しょこく,アジア諸国,先進諸国,アフリカ諸国,東南アジア諸国,周辺諸国
権限,けんげん,編集権限,権限を有する,権限を持つ,職務権限,権限がない
幕府,ばくふ,徳川幕府,室町幕府,幕府軍,幕府を開く,幕府側
紅茶,こうちゃ,紅茶を飲む,午後の紅茶,紅茶専門,紅茶を入れる,美味しい紅茶
片手,かたて,カメラ片手,デジカメ片手,片手を上げる,片手で持つ,片手で数える
言い訳,いいわけ,言い訳をする,苦しい言い訳,自分に言い訳,言い訳を考える,言い訳はする
背後,はいご,事件の背後,背後関係,私の背後,背後の山,自分の背後
源泉,げんせん,自家源泉,源泉所得,力の源泉,源泉の宿,温泉の源泉
体操,たいそう,ラジオ体操,体操服,体操をする,準備体操,頭の体操
非難,ひなん,非難の声,非難を浴びる,非難を受ける,非難決議,強く非難
県警,けんけい,愛知県警,兵庫県警,県警本部,千葉県警,県警察
勤め,つとめ,会社に勤め,会社勤め,年勤め,勤めをする,以前勤め
推移,すいい,数の推移,順調に推移,好調に推移,率の推移,推移を見る
処置,しょち,応急処置,処置をする,処置を行う,的処置,処置をとる
承知,しょうち,承知の上,承知おき,百も承知,承知のとおり,承知の通り
放映,ほうえい,テレビ放映,放映中,放映権,テレビで放映,放映開始
聖書,せいしょ,旧約聖書,新約聖書,聖書を読む,聖書の中,聖書の言葉
優良,ゆうりょう,優良住宅,長期優良,優良賃貸,優良サイト,優良店
頂上,ちょうじょう,頂上付近,山の頂上,頂上を目指す,頂上決戦,頂上直下
評論,ひょうろん,評論家,評論社,映画評論,政治評論,経済評論
補給,ほきゅう,水分補給,栄養補給,利子補給,補給をする,補給金
盛り上がり,もりあがり,盛り上がりを見せる,盛り上がりをみせる,大変盛り上がり,盛り上がりすぎ,大きな盛り上がり
体系,たいけい,体系的,料金体系,交通体系,賃金体系,技術体系
視野,しや,広い視野,視野を広げる,的視野,視野角,視野を持つ
服装,ふくそう,服装自由,服装をする,時の服装,支給服装,同じ服装
模型,もけい,鉄道模型,模型店,模型屋,模型を作る,模型製作
預金,よきん,定期預金,外貨預金,預金口座,預金保険,当座預金
在宅,ざいたく,在宅ケア,在宅勤務,在宅ビジネス,在宅生活,在宅酸素
派手,はで,派手派手,派手すぎ,派手目,派手好き,派手過ぎ
食欲,しょくよく,食欲の秋,食欲をそそる,食欲がない,食欲増進,食欲減退
著書,ちょしょ,氏の著書,著書の中,先生の著書,著書多数,著書を読む
系列,けいれつ,時系列,フジテレビ系列,系列店,系列局,日本テレビ系列
感激,かんげき,感謝感激,大変感激,感激のあまり,感激雨あられ,時の感激
推測,すいそく,私の推測,推測の域,勝手に推測,容易に推測,推測をする
収容,しゅうよう,収容所,収容人数,強制収容,収容能力,収容可能
俳句,はいく,写真俳句,俳句会,現代俳句,俳句大会,俳句を作る
縮小,しゅくしょう,拡大縮小,規模縮小,縮小画像,規模を縮小,縮小版
注射,ちゅうしゃ,注射器,予防注射,注射をする,注射針,ボトックス注射
納期,のうき,納期情報,納期他,商品の納期,納期表示,納期の目安
供養,くよう,先祖供養,永代供養,水子供養,供養をする,人形供養
買収,ばいしゅう,用地買収,買収防衛,的買収,買収提案,会社を買収
片付け,かたづけ,片付けをする,部屋の片付け,部屋片付け,片付け始め,家の片付け
安値,やすね,安値をチェック,年初来安値,安値のプラン,安値情報,安値水準
武将,ぶしょう,戦国武将,時代の武将,武将たち,武将達,敵武将
視察,しさつ,現地視察,視察団,視察研修,海外視察,視察を行う
済む,すむ,済む話,済み株式,程度で済む,済み物件,済み完成
一人暮らし,ひとりぐらし,一人暮らし向け,一人暮らしをする,一人暮らしの部屋,一人暮らしの物件,一人暮らしのマン
展覧,てんらん,展覧会,今回の展覧,過去の展覧,美術展覧,中の展覧
郵送,ゆうそう,書を郵送,郵送料,郵送の場合,書を郵送する,状を郵送
秘書,ひしょ,秘書課,公設秘書,政策秘書,議員秘書,私設秘書
広域,こういき,広域連合,広域的,広域行政,広域情報,広域農道
警告,けいこく,警告を発す,警告灯,警告音,警告を受ける,警告文
尊重,そんちょう,人権尊重,意思を尊重,意見を尊重,性を尊重,意思を尊重する
公認,こうにん,公認会計士,公認候補,協会公認,日本公認,政府公認
視界,しかい,視界が悪い,視界不良,視界の中,視界良好,視界を確保
討論,とうろん,討論会,党首討論,公開討論,討論を行う,反対討論
内装,ないそう,内装工事,内装材,内装写真,内装仕上げ,店の内装
納豆,なっとう,納豆を食べる,納豆ご飯,納豆ダイエット,納豆好き,納豆ファン
補足,ほそく,補足説明,補足情報,質問の補足,補足的,補足や回答
救済,きゅうさい,救済策,救済法,人権救済,救済制度,救済法案
劇団,げきだん,劇団員,劇団ひとり,人形劇団,劇団ひまわり,劇団の公演
郵政,ゆうせい,郵政民営,日本郵政,郵政公社,郵政改革,郵政事業
視覚,しかく,視覚障害,視覚的,視覚効果,視覚情報,県視覚
遺族,いぞく,遺族年金,遺族会,遺族厚生,遺族側,死遺族
財源,ざいげん,特定財源,財源確保,財源不足,財源の確保,自主財源
私的,してき,私的利用,その他私的,私的使用,私的録音,私的整理
圧縮,あっしゅく,圧縮機,圧縮空気,圧縮ファイル,圧縮率,圧縮強度
捨てる,すてる,捨て場,捨て台詞,ゴミを捨てる,命を捨てる,捨て犬
創設,そうせつ,制度の創設,制度を創設,年に創設,制度を創設する,創設以来
忘れる,わすれる,時間を忘れる,気持ちを忘れる,忘れがち,決して忘れる,我を忘れる
座席,ざせき,後部座席,座席指定,座席数,座席表,前の座席
金銭,きんせん,金銭的,金銭感覚,金銭面,金銭トラブル,金銭消費
武装,ぶそう,武装勢力,武装解除,武装集団,理論武装,武装組織
補強,ほきょう,補強工事,補強材,補強をする,補強用,補強工法
総裁,そうさい,総裁選,自民党総裁,日銀総裁,銀行総裁,総裁選挙
支障,ししょう,支障をきたす,支障がない,生活に支障,著しい支障,支障はない
悲劇,ひげき,悲劇的,悲劇のヒロイン,悲劇性,ファウストの悲劇,悲劇を生む
就業,しゅうぎょう,就業規則,就業時間,就業手当,手当や就業,就業中
公衆,こうしゅう,公衆送信,公衆衛生,公衆電話,公衆浴場,公衆トイレ
衆院,しゅういん,衆院選,衆院議員,次期衆院,衆院解散,衆院予算
収め,おさめ,成績を収められる
宝石,ほうせき,宝石箱,宝石店,宝石広場,宝石屋,宝石類
発射,はっしゃ,ミサイル発射,発射を行う,ミサイルを発射,発射台,ミサイルを発射する
処方,しょほう,処方薬,薬を処方,薬を処方する,漢方処方,薬の処方
納税,のうぜい,納税義務,税の納税,納税通知,納税証明,納税額
探検,たんけん,探検隊,探検家,探検記,深追い探検,王国探検
担保,たんぽ,担保責任,不動産担保,担保権,性を担保,担保に供
創立,そうりつ,創立記念,創立以来,年に創立,年創立,会創立
大将,たいしょう,ガキ大将,陸軍大将,お山の大将,海軍大将,大将戦
延期,えんき,発売延期,延期となる,延期のお知らせ,月に延期,延期の特約
納付,のうふ,納付書,納付金,金の納付,金納付,料の納付
地蔵,じぞう,地蔵さん,地蔵様,地蔵尊,地蔵さま,地蔵院
認可,にんか,認可を受ける,認可保育園,大臣の認可,認可保育,認可外
貴族,きぞく,貴族院,貴族たち,平安貴族,貴族社会,独身貴族
短縮,たんしゅく,時間短縮,時間の短縮,時間を短縮,時間を短縮する,期間の短縮
共済,きょうさい,共済組合,共済年金,共済金,共済制度,共済事業
生存,せいぞん,生存率,生存権,生存競争,生存期間,生存確認
急激,きゅうげき,急激に増加,急激に変化,急激に悪化,急激に減少,急激に低下
出展,しゅってん,出展社,会出展,出展申,出展作品,会に出展
伝承,でんしょう,伝承館,伝承上,民間伝承,文化伝承,技術の伝承
実装,じっそう,機能を実装,実装技術,設計と実装,機能を実装する,実装方法
革新,かくしん,革新的,技術革新,経営革新,伝統と革新,革新計画
座り,すわり,座り心地,体育座り,座りっぱなし,座りをする,立ち座り
裏側,うらがわ,地球の裏側,月の裏側,食品の裏側,裏側を見る,歯の裏側
探せる,さがせる,情報を探せる,口コミで探せる,商品を探せる,探せるサイト,地図を探せる
日誌,にっし,活動日誌,航海日誌,業務日誌,営業日誌,開発日誌
質疑,しつぎ,質疑応答,質疑を行う,質疑を終結,質疑はある,質疑の中
幕末,ばくまつ,幕末期,幕末の志士,幕末明治,幕末の動乱,幕末志士
高値,たかね,年初来高値,高値で取引,高値で売れる,高値となる,昨年来高値
進展,しんてん,技術の進展,研究の進展,進展がない,社会の進展,急速に進展
運賃,うんちん,航空運賃,割引運賃,運賃表,旅客運賃,付加運賃
神秘,しんぴ,神秘的,神秘主義,神秘性,神秘体験,神秘の世界
作詞,さくし,作詞家,作詞作曲,作詞をする,曲名作詞,読み作詞
存続,そんぞく,存続期間,存続会社,存続の危機,存続を求める,権の存続
貧困,ひんこん,貧困層,貧困問題,貧困率,貧困ビジネス,的貧困
異動,いどう,人事異動,役員の異動,異動のお知らせ,局の異動,異動届
熟成,じゅくせい,長期熟成,年熟成,熟成期間,熟成酒,低温熟成
