嬉しい,うれしい,嬉しそう,とても嬉しい,本当に嬉しい,嬉しいこと,嬉しく思い
貰える,もらえる,貰えるよう,貰えそう,貰えること,貰えるもの,貰える事
躊躇,ちゅうちょ,何の躊躇,躊躇もない,躊躇すること,躊躇いも,ことを躊躇する
賑わい,にぎわい,賑わいを見せる,賑わいをみせる,街の賑わい,山の賑わい,賑わい創出
可憐,かれん,絶対可憐,可憐チルドレン,可憐ちゃん,その可憐,純情可憐
驚愕,きょうがく,驚愕の事実,驚愕の表情,驚愕の退職,光喜に驚愕,驚愕の真実
饅頭,まんじゅう,もみじ饅頭,温泉饅頭,酒饅頭,饅頭屋,毒饅頭
青龍,せいりゅう,朝青龍,青龍関,青龍刀,青龍問題,青龍引退
排泄,はいせつ,排泄物,排泄ケア,排泄介助,排泄量,中に排泄
噛み,かみ,舌を噛み切る
瑞穂,みずほ,福島瑞穂,瑞穂区,瑞穂町,市瑞穂,瑞穂市
ご馳走,ごちそう,ご馳走様,料理をご馳走,食事をご馳走,夕食をご馳走,最高のご馳走
平坦,へいたん,平坦地,平坦部,平坦化,平坦面,平坦路
嗜好,しこう,嗜好品,嗜好性,趣味嗜好,個人の嗜好,者の嗜好
瞑想,めいそう,瞑想法,瞑想をする,瞑想曲,タイスの瞑想,瞑想会
牽引,けんいん,牽引役,牽引車,牽引力,牽引者,経済の牽引
萌える,もえる,萌えキャラ,萌え系,間違いは萌える,萌えアニメ,萌えスレ
騙し,だまし,金を騙し取る,円を騙し取る
蛋白,たんぱく,蛋白質,性蛋白,蛋白尿,蛋白源,尿蛋白
綴る,つづる,綴るブログ,日常を綴る,出来事を綴る,思いを綴る,綴る日記
大晦日,おおみそか,大晦日の夜,年の大晦日,今年の大晦日,年大晦日,毎年大晦日
些細,ささい,どんな些細,そんな些細,ほんの些細,こんな些細,日常の些細
安堵,あんど,安堵感,安堵の表情,安堵の息,安堵のため息,安堵町
炸裂,さくれつ,節炸裂,炸裂弾,炸裂音,妄想炸裂,炸裂中
掴み,つかみ,一掴み,わし掴み
蜘蛛,くも,蜘蛛の巣,蜘蛛の糸,蜘蛛の子,蜘蛛男,蜘蛛女
林檎,りんご,椎名林檎,林檎さん,林檎ちゃん,林檎たち,林檎の木
柚子,ゆず,柚子胡椒,柚子こしょう,柚子の香り,柚子湯,柚子茶
常磐,ときわ,常磐線,常磐道,常磐自動車,常磐緩行,常磐新
溜息,ためいき,溜息を吐く,溜息をつく,深い溜息,小さく溜息,大きな溜息
呟く,つぶやく,そう呟く,呟くよう,中で呟く,声で呟く,独り言を呟く
覗く,のぞく,中を覗く,ちょっと覗く,覗くこと,サイトを覗く,店を覗く
竣工,しゅんこう,竣工式,年竣工,竣工後,年に竣工,月に竣工
終焉,しゅうえん,終焉を迎える,終焉の地,時代の終焉,世界の終焉,世界終焉
揃う,そろう,揃いも揃う,パソコンも揃う,揃うこと,いろいろ揃う,揃うよう
卑怯,ひきょう,卑怯者,する卑怯,ない卑怯,そんな卑怯,こんな卑怯
銚子,ちょうし,銚子市,銚子電鉄,県銚子,銚子丸,銚子駅
骨董,こっとう,骨董品,骨董市,骨董屋,骨董店,骨董通り
喋る,しゃべる,喋り方,よく喋る,喋ること,喋るよう,言葉を喋る
莫大,ばくだい,その莫大,ば莫大,ない莫大,この莫大
嘔吐,おうと,嘔吐物,嘔吐下痢,過食嘔吐,嘔吐感,下痢や嘔吐
剪定,せんてい,剪定をする,剪定枝,剪定作業,庭木の剪定,剪定鋏
分娩,ぶんべん,無痛分娩,自然分娩,分娩室,分娩台,分娩後
祈祷,きとう,祈祷師,祈祷会,加持祈祷,祈祷をする,祈祷を受ける
車輌,しゃりょう,この車輌,鉄道車輌,日本車輌,輸送車輌,いる車輌
対峙,たいじ,対峙すること,軍と対峙,敵と対峙,対峙した時,自然と対峙
衣裳,いしょう,ブライダル衣裳,衣裳のこと,花嫁衣裳,衣裳のレンタル,衣裳店
噛む,かむ,よく噛む,唇を噛む,噛むこと,舌を噛む,ガムを噛む
掴む,つかむ,腕を掴む,心を掴む,手を掴む,掴むこと,肩を掴む
膀胱,ぼうこう,膀胱炎,膀胱がん,性膀胱,膀胱癌,活動膀胱
囃子,はやし,祭囃子,出囃子,祇園囃子,祭り囃子,人囃子
繋ぐ,つなぐ,手を繋ぐ,繋ぐこと,命を繋ぐ,人を繋ぐ,繋ぐ日本
椎茸,しいたけ,乾し椎茸,原木椎茸,椎茸栽培,どんこ椎茸,乾椎茸
胡麻,ごま,黒胡麻,胡麻豆腐,白胡麻,すり胡麻,胡麻だれ
廃墟,はいきょ,廃墟と化す,廃墟となる,廃墟のよう,廃墟の中,廃墟化
綴り,つづり,書き綴り,綴り字,気ままに綴り,和綴り,綴り製本
捧げる,ささげる,祈りを捧げる,命を捧げる,捧げること,感謝を捧げる,身を捧げる
啓蒙,けいもう,啓蒙活動,啓蒙書,啓蒙主義,啓蒙的,啓蒙思想
猪木,ちょき,アントニオ猪木,猪木さん,猪木氏,猪木祭り,トキの猪木
混沌,こんとん,混沌とする,混沌の中,この混沌,混沌の時代,ない混沌
執拗,しつよう,執拗に攻撃,ように執拗,その執拗,執拗に粘着,執拗に要求
屏風,びょうぶ,図屏風,金屏風,屏風絵,屏風のよう,屏風浦
吾妻,あずま,吾妻郡,吾妻鏡,吾妻線,県吾妻,吾妻町
冴え,さえ,冴え冴え,ひとつの冴え,冴えとする,冴えを見せる,技の冴え
迂回,うかい,迂回路,大きく迂回,迂回献金,迂回するよう,迂回すること
痴呆,ちほう,痴呆症,痴呆性,性痴呆,痴呆老人,型痴呆
橋梁,きょうりょう,橋梁工事,川橋梁,橋梁等,橋梁談合,道路橋梁
脆弱,ぜいじゃく,脆弱性,脆弱化,この脆弱,する脆弱,非常に脆弱
繋ぎ,つなぎ,繋ぎ合わせ,繋ぎ目,繋ぎ止め,繋ぎとめ,繋ぎっぱなし
胡椒,こしょう,黒胡椒,柚子胡椒,塩胡椒,ゆず胡椒,塩と胡椒
冤罪,えんざい,冤罪事件,痴漢冤罪,冤罪被害,冤罪の可能,冤罪を晴らす
佇む,たたずむ,ひっそり佇む,佇む宿,佇む隠れ家,佇む静か,佇む温泉
佃煮,つくだに,昆布の佃煮,海苔の佃煮,青のり佃煮,佃煮セット,佃煮の製造
隼人,はやと,市原隼人,隼人さん,隼人町,横浜隼人,寺隼人
金儲け,かねもうけ,金儲けのため,金儲けをする,金儲け主義,金儲けの為,金儲けの道具
濾過,ろか,濾過生,濾過装置,濾過槽,濾過器,濾過原酒
徘徊,はいかい,街を徘徊,街を徘徊する,深夜徘徊,徘徊中,ネットを徘徊
頷く,うなずく,無言で頷く,度も頷く,コクリと頷く,頷くこと,笑顔で頷く
傭兵,ようへい,傭兵団,傭兵部隊,傭兵たち,傭兵隊長,傭兵達
晒す,さらす,晒すこと,恥を晒す,晒すスレ,姿を晒す,醜態を晒す
琥珀,こはく,琥珀色,琥珀さん,琥珀の瞳,久慈琥珀,琥珀の間
楕円,だえん,楕円形,楕円軌道,楕円体,楕円型,楕円曲線
愛嬌,あいきょう,愛嬌たっぷり,愛嬌を振りまく,ない愛嬌,愛嬌と言う,愛嬌者
勿体,もったい,勿体つけ,非常に勿体,そんな勿体
明智,めいち,明智光秀,明智小五郎,明智町,明智平,明智軍
蔓延,まんえん,蔓延防止,社会に蔓延,中に蔓延,蔓延すること,蔓延を防ぐ
絨毯,じゅうたん,ペルシャ絨毯,絨毯の上,絨毯爆撃,絨毯のよう,赤い絨毯
彗星,すいせい,赤い彗星,彗星のよう,リン彗星,彗星さん,この彗星
蝦夷,えみし,蝦夷地,蝦夷鹿,蝦夷富士,蝦夷征伐,蝦夷農園
夜叉,やしゃ,犬夜叉,金色夜叉,夜叉丸,夜叉姫,滝夜叉
彷彿,ほうふつ,彷彿とさせる,時代を彷彿,彷彿とする,姿を彷彿,世界を彷彿
嘘つき,うそつき,嘘つき嘘つき,嘘つき呼ばわり,嘘つき女,この嘘つき,嘘つき男
蘇生,そせい,心肺蘇生,蘇生法,救急蘇生,蘇生術,死者蘇生
這い,はい,地べたを這い回る
編纂,へんさん,史編纂,編纂委員,編纂者,史料編纂,編纂所
痙攣,けいれん,痙攣を起こす,熱性痙攣,顔面痙攣,痙攣発作,眼瞼痙攣
黄昏,たそがれ,黄昏時,黄昏の歌姫,黄昏色,黄昏呑兵衛,黄昏野郎
贔屓,ひいき,こ贔屓,贔屓の引き,贔屓さん,自分の贔屓,贔屓キャラ
山椒,さんしょう,めん山椒,山椒の実,山椒大夫,山椒の木,粉山椒
彷徨,ほうこう,彷徨わせ,視線を彷徨,中を彷徨,死の彷徨,街を彷徨
幼馴染,おさななじみ,人の幼馴染,主人公の幼馴染,その幼馴染,幼馴染の女の子,私の幼馴染
儲ける,もうける,儲けるため,儲けること,株で儲ける,儲け方,儲ける方法
新撰,しんせん,新撰組,新撰姓氏,機動新撰,扉新撰,新撰字
唖然,あぜん,唖然とする,唖然とさせる,唖然となる,唖然呆然,一瞬唖然
瑕疵,かし,瑕疵担保,当社に瑕疵,住宅瑕疵,瑕疵保証,瑕疵保険
湿疹,しっしん,性湿疹,湿疹等,乳児湿疹,手湿疹,主婦湿疹
祭祀,さいし,宮中祭祀,祭祀遺跡,祭祀を行う,祭祀場,古代祭祀
厩舎,きゅうしゃ,厩舎所属,厩舎の馬,厩舎関係,藤沢厩舎,厩舎に所属
斡旋,あっせん,就職斡旋,斡旋業者,売春斡旋,斡旋所,内職斡旋
凱旋,がいせん,凱旋門,凱旋帰国,凱旋公演,弥生で凱旋,凱旋ライブ
信憑,しんぴょう,信憑性,情報の信憑,内容の信憑,その信憑,証言の信憑
痺れ,しびれ,痺れを切らす,手の痺れ,足の痺れ,手足の痺れ,甘い痺れ
珊瑚,さんご,珊瑚ちゃん,珊瑚海,珊瑚色,赤珊瑚,珊瑚の海
範疇,はんちゅう,範疇を超える,その範疇,範疇外,理解の範疇,常識の範疇
愕然,がくぜん,愕然とする,愕然となる,愕然とさせる,知り愕然,差に愕然
怒涛,どとう,怒涛のよう,怒涛の展開,怒涛の勢い,怒涛の攻撃,疾風怒涛
城址,じょうし,城址公園,高遠城址,小田原城址,城址碑,平山城址
牽制,けんせい,牽制球,牽制するため,牽制死,牽制技,動きを牽制
渾身,こんしん,渾身の力,渾身の一,渾身の一撃,著者渾身,渾身の作品
揃える,そろえる,口を揃える,揃えること,揃え豊富,顔を揃える,声を揃える
叶える,かなえる,夢を叶える,叶えるため,願いを叶える,叶えること,希望を叶える
淘汰,とうた,自然淘汰,淘汰の時代,者は淘汰,性淘汰,淘汰圧
辿る,たどる,辿り着,道を辿る,一途を辿る,辿り着い,記憶を辿る
呆然,ぼうぜん,呆然とする,呆然自失,唖然呆然,呆然としてる,半ば呆然
凛と,りんと,凛と咲く,凛と立つ
同棲,どうせい,同棲中,同棲生活,同棲相手,彼氏と同棲,彼女と同棲
清楚,せいそ,清楚系,その清楚,白い清楚,清楚感
其処,そこ,ば其処,何処其処
飛翔,ひしょう,飛翔体,飛翔中,飛翔能力,飛翔力,飛翔写真
螺旋,らせん,螺旋階段,螺旋状,螺旋を描く,螺旋丸,螺旋回廊
一揆,いっき,百姓一揆,一揆勢,農民一揆,土一揆,一揆を起こす
炒める,いためる,炒め物,炒めもの,油で炒める,さっと炒める,よく炒める
佇まい,たたずまい,ある佇まい,その佇まい,佇まいを見せる,佇まいの中,佇まいを残す
微塵,みじん,微塵もない,微塵も感じる,微塵も感じられる,微塵も感じさせる,微塵も無い
呑む,のむ,息を呑む,酒を呑む,呑み会,固唾を呑む,涙を呑む
龍神,りゅうじん,龍神村,龍神温泉,龍神様,龍神スカイライン,龍神の神子
閃光,せんこう,閃光のナイトレイド,閃光玉,閃光弾,閃光を放つ,閃光のよう
揉み,もみ,胸を揉みしだく
松茸,まつたけ,松茸ご飯,松茸狩り,松茸料理,松茸の土瓶,松茸ごはん
乖離,かいり,乖離率,大きく乖離,現実と乖離,大きな乖離,実態と乖離
白樺,しらかば,白樺林,白樺派,白樺荘,白樺学園,白樺湖畔
抜擢,ばってき,役に抜擢,主役に抜擢,ヒロインに抜擢,長に抜擢,主演に抜擢
眩しい,まぶしい,眩しそう,眩しい光,眩しすぎ,眩しい太陽,太陽が眩しい
祀る,まつる,神を祀る,祀る神社,命を祀る,祀ること,祀り方
揶揄,やゆ,揶揄するよう,者を揶揄,揶揄する声,揶揄するため,者を揶揄する
羊羹,ようかん,水羊羹,栗羊羹,芋羊羹,蒸し羊羹,塩羊羹
鵜呑み,うのみ,全部鵜呑み,全て鵜呑み,情報鵜呑み
溜まる,たまる,溜まる一方,溜まること,溜まりそう,ストレスも溜まる,溜まるよう
大袈裟,おおげさ,そんな大袈裟,大袈裟すぎ,ば大袈裟
牝馬,ひんば,歳牝馬,繁殖牝馬,牝馬限定,駿牝馬,阪神牝馬
孵化,ふか,孵化場,孵化後,人工孵化,孵化率,卵の孵化
掻き,かき,恥は掻き捨てる,髪を掻き上げる
殺戮,さつりく,大量殺戮,殺戮者,破壊と殺戮,殺戮兵器,殺戮を繰り返す
蓮華,れんげ,妙法蓮華,蓮華経,蓮華温泉,蓮華座,葉蓮華
桔梗,ききょう,桔梗屋,桔梗さん,桔梗の花,桔梗紋,トルコ桔梗
釘付け,くぎづけ,テレビに釘付け,目を釘付け,画面に釘付け,視線を釘付け,釘付けとなる
殲滅,せんめつ,敵を殲滅,殲滅戦,殲滅力,敵を殲滅する,包囲殲滅
鯉のぼり,こいのぼり,泳ぐ鯉のぼり,匹の鯉のぼり,鯉のぼり祭り,鯉のぼり単品,大きな鯉のぼり
玉葱,たまねぎ,玉葱出荷,空知玉葱,玉葱のみじん切り,玉葱の皮,赤玉葱
勢揃い,せいぞろい,ゲスト勢揃い,力作勢揃い,勢揃いの場,タイトル勢揃い,川勢揃い
天秤,てんびん,天秤座,電子天秤,天秤櫓,天秤宮,ジェット天秤
甲冑,かっちゅう,甲冑姿,甲冑師,甲冑を着,甲冑隊,甲冑に身
麒麟,きりん,麒麟山,麒麟さん,麒麟の田村,黒麒麟,優香麒麟
鳳凰,ほうおう,鳳凰美田,鳳凰小屋,鳳凰の間,鳳凰編,鳳凰単
煉瓦,れんが,赤煉瓦,煉瓦造り,煉瓦造,耐火煉瓦,煉瓦館
黎明,れいめい,黎明期,黎明の光芒,黎明館,黎明スカイレジテルビル,黎明の空
顆粒,かりゅう,顆粒状,やすい顆粒,顆粒球,エキス顆粒,顆粒タイプ
蘇る,よみがえる,蘇ること,蘇る逆転,再び蘇る,蘇るよう,蘇る金
投函,とうかん,ポスト投函,ポストに投函,投函となる,ポストへ投函,等に投函
皐月,さつき,皐月賞,皐月さん,回皐月,皐月晴れ,皐月ちゃん
瀕死,ひんし,瀕死の状態,瀕死の重傷,瀕死状態,瀕死の白鳥,瀕死の重症
辰巳,たつみ,辰巳琢郎,辰巳さん,辰巳住,辰巳奈都子,辰巳屋
大腿,だいたい,大腿骨,大腿部,右大腿,大腿筋,左大腿
賑わう,にぎわう,客で賑わう,人で賑わう,者で賑わう,連れで賑わう,大いに賑わう
埠頭,ふとう,晴海埠頭,大井埠頭,北埠頭,大黒埠頭,中央埠頭
朱雀,すざく,朱雀門,朱雀院,朱雀大路,朱雀天皇,朱雀帝
蒼い,あおい,蒼き狼,蒼い瞳,蒼い空,蒼い海,蒼い月
手帖,てちょう,暮しの手帖,旅の手帖,手帖社,暮らしの手帖,美術手帖
叢書,そうしょ,研究叢書,学叢書,戦史叢書,科学叢書,研究所叢書
位牌,いはい,塗り位牌,位牌堂,白木の位牌,位牌を安置,白木位牌
喧騒,けんそう,都会の喧騒,喧騒を忘れる,喧騒を離れる,喧騒の中,街の喧騒
伊吹,いぶき,伊吹文明,伊吹吾郎,伊吹さん,奥伊吹,伊吹氏
疼痛,とうつう,性疼痛,慢性疼痛,疼痛治療,疼痛緩和,疼痛管理
片栗粉,かたくりこ,水溶き片栗粉,片栗粉をまぶす,片栗粉を加える,片栗粉を入れる,片栗粉大さじ
暖簾,のれん,暖簾をくぐる,暖簾に腕,店の暖簾,暖簾を潜る,暖簾わけ
喰う,くう,喰い物,喰い処,喰いタン,飯を喰う,男を喰う
鰹節,かつおぶし,鰹節専門,歳暮鰹節,昆布と鰹節,鰹節屋,鰹節と昆布
邁進,まいしん,邁進中,邁進すること,活動に邁進,道を邁進,道を邁進する
晩餐,ばんさん,晩餐会,最後の晩餐,宮中晩餐,主の晩餐,歓迎晩餐
顛末,てんまつ,顛末記,事の顛末,その顛末,事件の顛末,顛末書
御苑,ぎょえん,新宿御苑,京都御苑,御苑前,東御苑,御苑内
金箔,きんぱく,金箔入り,金箔を貼る,金箔工芸,金箔瓦,金箔張り
燻製,くんせい,燻製作り,燻製器,燻製料理,燻製屋,自家製燻製
胡蝶,こちょう,胡蝶蘭,胡蝶の夢,胡蝶庵,ミディ胡蝶,胡蝶の舞
研鑽,けんさん,研鑽を積む,自己研鑽,研鑽を重ねる,技術の研鑽,研鑽会
朝霞,あさがすみ,朝霞市,県朝霞,朝霞台,市朝霞,朝霞駅
琵琶,びわ,琵琶法師,筑前琵琶,中国琵琶,琵琶の音,アクア琵琶
焚き火,たきび,焚き火をする,焚き火を囲む,焚き火台,焚き火の炎,焚き火の中
隕石,いんせき,巨大隕石,隕石の衝突,隕石の落下,鉄隕石,隕石のよう
涅槃,ねはん,涅槃経,涅槃図,涅槃像,般涅槃,涅槃寂静
招聘,しょうへい,者を招聘,氏を招聘,招聘を受ける,者を招聘する,講師を招聘
凌駕,りょうが,遥かに凌駕,肉体を凌駕,肉体を凌駕する,はるかに凌駕,それを凌駕する
貫禄,かんろく,貫禄勝ち,貫禄たっぷり,貫禄を見せる,王者の貫禄,貫禄を感じる
砥石,といし,天然砥石,研削砥石,砥石城,切断砥石,ダイヤモンド砥石
廻し,まわし,曳き廻し,引き廻し,振り廻し,字廻し,敵に廻し
諜報,ちょうほう,諜報機関,諜報活動,諜報員,諜報部,諜報部員
灼熱,しゃくねつ,灼熱地獄,灼熱の太陽,灼熱感,灼熱の炎,灼熱の砂漠
狭窄,きょうさく,狭窄症,管狭窄,視野狭窄,狭窄部,弁狭窄
梯子,はしご,梯子を登る,天使の梯子,鉄梯子,梯子車,梯子の上り
真鍮,しんちゅう,真鍮製,真鍮線,真鍮板,真鍮パイプ,真鍮色
標榜,ひょうぼう,標榜する病院,科を標榜,科を標榜する,主義を標榜,主義を標榜する
蓬莱,ほうらい,蓬莱泉,蓬莱軒,蓬莱橋,蓬莱学園,蓬莱寺
末梢,まっしょう,末梢神経,末梢血,末梢血管,末梢血幹,末梢性
俯瞰,ふかん,俯瞰的,全体を俯瞰,俯瞰図,全体を俯瞰する,俯瞰すること
柑橘,かんきつ,柑橘系,柑橘ドリンク,癒す柑橘,柑橘の香り,柑橘果汁
欺瞞,ぎまん,階級の欺瞞,自己欺瞞,欺瞞性,欺瞞的,その欺瞞
播種,はしゅ,播種後,播種機,播種期,腹膜播種,播種性
呆れる,あきれる,呆れ顔,呆れ果て,呆れ気味,少し呆れる,もう呆れる
草薙,くさなぎ,草薙の剣,草薙剣,草薙さん,草薙素子,草薙駅
石膏,せっこう,石膏型,石膏像,廃石膏,石膏泉,石膏デッサン
舐める,なめる,舐めるよう,舌で舐める,舐め回し,舐め上げ,唇を舐める
鞍馬,あんば,鞍馬寺,鞍馬天狗,鞍馬線,鞍馬駅,電鉄鞍馬
偲ぶ,しのぶ,偲ぶ会,故人を偲ぶ,先生を偲ぶ,偲ぶこと,遺徳を偲ぶ
狛犬,こまいぬ,狛犬さん,神社の狛犬,狛犬たち,この狛犬,ある狛犬
歪曲,わいきょく,歴史歪曲,事実を歪曲,歴史を歪曲,事実を歪曲する,歴史を歪曲する
棲む,すむ,棲み家,棲む家,棲む日日,棲む森,棲む鬼
囁き,ささやき,悪魔の囁き,囁き声,甘い囁き,天使の囁き,愛の囁き
雲雀,ひばり,雲雀さん,雲雀恭,雲雀山,雲雀様,雲雀サン
漆喰,しっくい,漆喰壁,漆喰塗り,漆喰の壁,白漆喰,白い漆喰
颯爽,さっそう,颯爽と登場,颯爽とする,颯爽と登場する,颯爽と現れ,颯爽と歩く
娼婦,しょうふ,娼婦と淑女,高級娼婦,娼婦たち,娼婦のよう,人の娼婦
椰子,やし,椰子の実,椰子の木,てる椰子,椰子の葉,ない椰子
醍醐,だいご,醍醐派,上醍醐,醍醐駅,醍醐桜,真言宗醍醐
濡れる,ぬれる,濡れること,濡れる事,濡れる街角,恋人も濡れる,濡れ方
撫でる,なでる,頭を撫でる,胸を撫でる,髪を撫でる,頬を撫でる,撫で回し
軟膏,なんこう,軟膏を塗る,ステロイド軟膏,軟膏剤,眼軟膏,華軟膏
堰堤,えんてい,砂防堰堤,堰堤下,堰堤上,堰堤の上,ダムの堰堤
流暢,りゅうちょう,近く流暢,流暢性,流暢に英語
咄嗟,とっさ,咄嗟の判断,咄嗟のこと,咄嗟に手,咄嗟に身,咄嗟の時
懺悔,ざんげ,懺悔室,懺悔をする,罪を懺悔,懺悔文,懺悔録
動悸,どうき,動悸が激しい,動悸息切れ,激しい動悸,動悸や息切れ,胸の動悸
真鯛,まだい,天然真鯛,真鯛釣り,活かし真鯛,真鯛狙い,真鯛のポワレ
絢爛,けんらん,豪華絢爛,絢爛豪華,絢爛舞踏
詭弁,きべん,者の詭弁,詭弁個人,詭弁を弄,詭弁を弄する,詭弁のガイドライン
合祀,ごうし,戦犯合祀,神社に合祀,神社合祀,戦犯の合祀,靖国神社に合祀
伽藍,がらん,伽藍配置,堂塔伽藍,壇上伽藍,西院伽藍,伽藍を建立
杏仁,きょうにん,杏仁豆腐,杏仁霜,杏仁プリン,入り杏仁,杏仁さん
浣腸,かんちょう,浣腸器,浣腸液,浣腸をする,イチジク浣腸,浣腸プレイ
圃場,ほじょう,試験圃場,いもち圃場,栽培圃場,いる圃場,実験圃場
大洲,おおす,大洲市,県大洲,大洲城,大洲藩,大洲店
拮抗,きっこう,拮抗薬,体拮抗,拮抗剤,カルシウム拮抗,拮抗作用
訊く,きく,そう訊く,訊き返し,訊くこと,訊き方,話を訊く
箪笥,たんす,桐箪笥,仙台箪笥,箪笥の中,和箪笥,時代箪笥
芳醇,ほうじゅん,ある芳醇,その芳醇,香りと芳醇,芳醇旨
祀り,まつり,祀り上げ,子午線の祀り,神祀り,神棚の祀り
吠える,ほえる,よく吠える,吠え声,吠えること,吠える犬,吠えるよう
蒲鉾,かまぼこ,蒲鉾店,蒲鉾屋,阿部蒲鉾,牛津蒲鉾,ヤマサ蒲鉾
強靭,きょうじん,ない強靭,強靭性,その強靭,する強靭
不憫,ふびん,不憫すぎ
